video_id,title,channel,upload_date,description,views,likes,comments,year,month,year_month,genre
kPZdseKOVBw,"Best Cameroon Music 2024 2023. Kocee, Tzy Panchak Stanley Enow Asaba, Kameni, Rinyu. Salatiel Vol 21",DJ Proff Proff Mix,2024-05-24 03:27:23+00:00,"Best Cameroon Music 2024 2023. Kocee, Tzy Panchak Stanley Enow Asaba, Kameni, Rinyu. Salatiel, Asaba, Vernyuy Tina, Phill Bill, Loic Sumfor, Vivid, Witty Minstrel, Krys M, Mr Leo, 
Enjoy this timeless Cameroon Music 2024, 2023 Mix and give all royalties to the owners of the songs. #cameroun #cameroon 
The contents of this mix is monetized by the respective Copyright Owners and Record Labels, so, all royalties belong to them.
This Mix is strictly for Promotional Use and Entertainment.

DJ Proff Proff a timeless all genres DJ from Cameroonian living in Germany made this mix just for you and your love ones.

❤️❤️❤️Have fun with this masterpiece and please do support my channel by subscribing and sharing the mix with others. Thank you.❤️❤️❤️
For BOOKINGS, WhatsApp or called DJ Proff Proff on +4917672360042 for any event and you and your audience or invitees will FEEL THE MIX with DJ Proff Proff.

❤️❤️Share 🔥🔥 Subscribe 🔥🔥 let's FEEL THE MIX with DJ Proff Proff. 

I ❤️ you all.

🔥Disclaimer!!! *This channel is not monetized; all royalties and any other benefit goes to the original creators of this content. If you need their music, contact the artists, and buy a copy🔥

❤️You wish to Tip DJ Proff Proff for a cup of coffee, paypal..... ❤️

Social Media: Facebook; https://www.facebook.com/profile.php?id=100025354530258
🔥BOOK DJ Proff Proff🔥



Cameroon, Congo and Côte d'Ivoire Dance Hall Bangas. Kocee, Tenor, Aveiro Djess,  Debordo  Vol 20

FT
Paolo
Ko-C, Longue Longue

One Love
Asaba

BIKOSSA
PhillBill

Landé (feat. Ko-C)
Fadil le sorcier

Controller (Remix)
Rinyu

L'homme Est Mauvais
Tzy Panchak

La Clé
Phillbill

Chacun Sa Chance
KRYS M

Closer
Salatiel

SHABASIKO
RIDIMZ

Na So
Tzy Panchak

Back 2 sender
Kameni

Bolo
Kameni

Qui Croira Verra
Krys M

Take Ova
Stanley Enow

Mon Bébé
Asaba

Love Me
Elisha K, Rinyu

Perfect
Loic Sumfor

Be Proud () - Gasha, Magasco, Vernyuy Tina, Awu, Kameni, Mr Leo - Piripboi Records
Witty Minstrel-Magasco-Vernyuy Tina-Awu-Kameni-Gasha-Mr Leo",70580,344,22,2024,5,2024-05,Hip Hop/Rap
hIiXM5pDHTk,Loveline ngeh,nenemtah,2009-02-05 12:35:20+00:00, ,378910,1791,195,2009,2,2009-02,Other
67OS87stEtk,Musique avec l'artiste camerounais Locko,TV5MONDE Info,2023-06-12 21:58:32+00:00,"Auteur, compositeur et ""beatmaker"", avec des textes accompagnés de sons RnB et afropop, Locko est un ambassadeur de la musique du continent. Le chanteur originaire de Douala, au Cameroun, travaille actuellement à Paris sur un projet d'EP ou d'album...",3406,37,4,2023,6,2023-06,Cameroonian Pop/R&B
9SQ_QXolPWY,Stanley Enow et jovi deux artistes sans honneur ni dignité au service de Chantal Biya,Général Valsero,2025-07-25 12:24:38+00:00,#mauricekamto #paulbiya,19237,651,131,2025,7,2025-07,Hip Hop/Rap
rp-ThZcDSO0,Trois Officiel - Cheval de Trois (Prod By Abdel Kader & Nw Lvl),TROIS OFFICIEL,2025-07-05 17:00:06+00:00,"LE CLIP DE CHEVAL DE TROIS EST À VOUS !

Extrait de notre nouvel EP *TROJAN*, disponible depuis vendredi sur toutes les plateformes.  

  🔗https://onerpm.link/trojan-trois

🎬 Réalisé par EKN BOY
🎼 Composé par Nw Lvl & Abdel Kader
🎨 Direction Artistique : Nw Lvl

Tourné dans les rues d’Akwa et dans toute la ville de  Douala pendant le The FR3M4 , ce clip est un condensé brut d’énergie urbaine, de style et de rage poétique, signature du duo TROIS.

📍Avec la participation exceptionnelle de :  
*Beri Boys Club, Samy Only, Khafardo , 2 Nilame, Leset, Diablit, Zaza La Desh et bien d'autres...

Un clip qui illustre l’audace et la puissance visuelle de la nouvelle génération du *rap camerounais.

🔥 Abonne-toi, like, partage et commente ton moment fort du clip.  

#chevaldetrois #troisofficiel #rap #cameroun #douala #yaounde #rapper #paris #newmusic",158324,5131,555,2025,7,2025-07,Hip Hop/Rap
6ORylwH-cf8,DUC-Z - Décharger (Clip Officiel) by Touareg Films (2016),Duc-Z,2016-08-04 10:00:26+00:00,ne jamais jouer a celui qui a.....celui ou celle qui est trop high kan on n'a rien parsque la decharge n'est pas loin....ma soeur qui ne vient jamais a un rdv sans ses copines la hum....DUC-Z vous met en garde...beaucoup se reconnaitront....prod by JAYB KEANE.....DEGUSTEZ,22288,284,31,2016,8,2016-08,Cameroonian Pop/R&B
kaXxnEFHbLI,BEN DECCA - Eyala nguéa [Audio Officiel],Universal Music Africa,2020-11-18 13:03:09+00:00,"BEN DECCA - Eyala nguéa [Audio Officiel]
Album : L’Amour à sens unique
Année de sortie : 1988

Ben Decca, né le 23 Février à Douala, est un artiste musicien, chanteur et auteur-compositeur camerounais. Il est reconnu pour sa verve particulière qu'il sert dans des compositions de Makossa, son style musical de prédilection.",47808,185,23,2020,11,2020-11,Cameroonian Pop/R&B
o1AV068nAEo,TENOR - DO LE DAB (Official Video) Directed by Dr Nkeng Stephens,TENOR officiel,2016-08-26 17:31:33+00:00,"""Do Le Dab"" est le nouveau hit single du talentueux Tenor.

Booking: +237 679 348 737 | +237 694 221 801 | taphisonline@gmail.com 

╚► merci d'avoir visionné
╚► N'oubliez pas de vous abonner pour suivre notre actualité sur :

https://www.facebook.com/tenorofficiel237
https://www.twitter.com/tenor_officiel/
https://www.instagram.com/tenorofficiel237
https://www.snapchat.com/add/tenorofficiel237
https://tenorofficiel.com

Music : Jordan Owono (Deejay Infinity)
Mix & Mastering : Ekie Bozeur",3618161,35084,1821,2016,8,2016-08,Cameroonian Pop/R&B
jgcXR4U4kEc,CHIDINMA - Jehovah Overdo (Official Video),EeZee Global,2021-05-01 23:00:21+00:00,"EeZee Conceptz is proud to welcome CHIDINMA to the family with ""Jehovah Overdo"".
“Jehovah Overdo” is a mellow groovy song of praise that testifies to God’s great works in our lives. The song is written & inspired by the Holy spirit and personal life experiences; it is hence sung with befitting passion. “Jehovah Overdo” is produced by the production team at EeZee Conceptz Global led by multiple award winning producer, EeZee Tee.

Video directed by Avalon Okpe.

Download/Stream ""Jehovah Overdo"" by CHIDINMA
https://eezeeconceptz.org/release/chidinma-jehovah-overdo/

Follow CHIDINMA / EeZee Conceptz
☞Instagram: https://www.instagram.com/chidinmaekile
☞Instagram: https://instagram.com/eezeeconceptz
☞YouTube: https://www.youtube.com/EeZeeConceptz?sub_confirmation=1

#EeZeeConceptz #CHIDINMA #JehovahOverdo",67218104,291145,12179,2021,5,2021-05,Gospel
J0HZu59zun4,GOVINAL - Naya Naya (OLD BIKUTSI By DJBOCANDE LE CAMER),DJBOCANDE,2014-08-07 08:51:18+00:00,GOVINAL NDZINGA ESSOMBA - Naya Naya. Le bon Bikutsi de chez nous le cameroun,351312,1748,94,2014,8,2014-08,Makossa/Traditional
